time,omega
0,0
0.051,0
0.103,0
0.154,0
0.205,0
0.256,0
0.306999999999999,0
0.359,0
0.41,0
0.461,0
0.512,0
0.563,0
0.615,0
0.666,0
0.717,0
0.768,0
0.819,0
0.871,0
0.922,0
0.973,0
1.024,0
1.075,0
1.127,0
1.178,0
1.229,0
1.28,0
1.331,0
1.383,0
1.434,0
1.485,0
1.536,0
1.587,0
1.639,0
1.69,0
1.741,0
1.792,0
1.843,0
1.895,0
1.946,0
1.997,0
2.048,0
2.099,0
2.151,0
2.202,0
2.253,0
2.304,0
2.355,0
2.407,0
2.458,0
2.509,0
2.56,0
2.611,0
2.663,0
2.714,0
2.765,0
2.816,0
2.867,0
2.919,0
2.97,0
3.021,0
3.072,0
3.123,0
3.175,0
3.226,0
3.277,0
3.328,0
3.379,0
3.431,0
3.482,0
3.533,0
3.584,0
3.635,0
3.687,0
3.738,0
3.789,0
3.84,0
3.891,0
3.943,0
3.994,0
4.045,0
4.096,369.6
4.147,1416.8
4.199,1933.29
4.25,2217.59
4.301,2279.19
4.352,2340.79
4.403,2402.39
4.455,2295.78
4.506,2340.79
4.557,2340.79
4.608,2340.79
4.659,2340.79
4.711,2295.78
4.762,2402.39
4.813,2340.79
4.864,2340.79
4.915,2340.79
4.967,2295.78
5.018,2340.79
5.069,2340.79
5.12,2340.79
5.171,2340.79
5.223,2295.78
5.274,2340.79
5.325,2340.79
5.376,2340.79
5.427,2340.79
5.479,2295.78
5.53,2340.79
5.581,2340.79
5.632,2340.79
5.683,2340.79
5.735,2295.78
5.786,2340.79
5.837,2340.79
5.888,2340.79
5.939,2340.79
5.991,2295.78
6.042,2340.79
6.093,2340.79
6.144,2340.79
6.195,2340.79
6.247,2295.78
6.298,2340.79
6.349,2340.79
6.4,2340.79
6.451,2340.79
6.503,2295.78
6.554,2340.79
6.605,2340.79
6.656,2340.79
6.707,2340.79
6.759,2295.78
6.81,2340.79
6.861,2340.79
6.912,2402.39
6.963,2340.79
7.015,2295.78
7.066,2340.79
7.117,2340.79
7.168,2340.79
7.219,2340.79
7.271,2356.19
7.322,2340.79
7.373,2402.39
7.424,2340.79
7.475,2340.79
7.527,2356.19
7.578,2340.79
7.629,2340.79
7.68,2402.39
7.731,2340.79
7.783,2295.78
7.834,2402.39
7.885,2340.79
7.936,2340.79
7.987,2463.99
8.039,2295.78
8.09,2340.79
8.141,2402.39
8.192,2340.79
8.243,2340.79
8.295,2356.19
8.346,2340.79
8.397,2340.79
8.448,2402.39
8.499,2402.39
8.551,2295.78
8.602,2340.79
8.653,2340.79
8.704,2402.39
8.755,2340.79
8.807,2295.78
8.858,2340.79
8.909,2340.79
8.96,2402.39
9.011,2402.39
9.063,2295.78
9.114,2094.4
9.165,1663.2
9.216,1416.8
9.267,1232
9.319,1027.06
9.37,985.6
9.421,862.4
9.472,739.2
9.523,739.2
9.575,604.15
9.626,616
9.677,554.4
9.728,554.4
9.779,431.2
9.831,483.32
9.882,369.6
9.933,431.2
9.984,369.6
10.035,308
10.087,362.49
10.138,308
10.189,246.4
10.24,308
10.291,246.4
10.343,241.66
10.394,246.4
10.445,184.8
10.496,184.8
10.547,184.8
10.599,181.25
10.65,184.8
10.701,184.8
10.752,123.2
10.803,123.2
10.855,120.83
10.906,123.2
10.957,123.2
11.008,61.6
11.059,123.2
11.111,60.42
11.162,61.6
11.213,61.6
11.264,61.6
11.315,61.6
11.367,0
11.418,123.2
11.469,0
11.52,0
11.571,0
11.623,0
11.674,0
11.725,0
11.776,0
11.827,0
11.879,0
11.93,0
11.981,0
12.032,0
12.083,0
12.135,0
12.186,0
12.237,0
12.288,0
12.339,0
12.391,0
12.442,0
12.493,0
12.544,0
12.595,0
12.647,0
12.698,0
12.749,0
12.8,61.6
12.851,0
12.903,0
12.954,0
13.005,0
13.056,0
13.107,0
13.159,0
13.21,0
13.261,0
13.312,0
13.363,0
13.415,0
13.466,0
